"Glottocode"	"Clade"	"Contact"	"Name"
"brok1247"	"Indo-Aryan"		"Brokskat"
"cari1275"	"Indo-Aryan"	"yes"	"Caribbean Hindustani"
"dame1241"	"Indo-Aryan"		"Dameli"
"dhan1264"	"Indo-Aryan"		"Dhanki"
"diml1238"	"Iranian"		"Dimli"
"doma1260"	"Indo-Aryan"		"Domaaki"
"fali1291"	"Italic"		"Faliscan"
"gura1251"	"Iranian"		"Gurani"
"guia1246"	"Italic"	"yes"	"Guianese Creole French"
"istr1245"	"Italic"		"Istro-Romanian"
"jaun1243"	"Indo-Aryan"		"Jaunsari"
"kach1277"	"Indo-Aryan"		"Kachchi"
"kala1373"	"Indo-Aryan"		"Gawri"
"khun1255"	"Iranian"		"Khunsaric"
"kuma1273"	"Indo-Aryan"		"Kumaoni"
"mace1250"	"Slavic"		"Macedonian"
"maga1260"	"Indo-Aryan"		"Magahi"
"marw1260"	"Indo-Aryan"		"Marwari (India)"
"munj1244"	"Iranian"		"Munji"
"olde1239"	"Germanic"		"Older Runic"
"oldf1241"	"Germanic"		"Old Frisian"
"oldp1254"	"Iranian"		"Old Persian (ca. 600-400 B.C.)"
"olds1249"	"Italic"		"Old Spanish"
"osca1245"	"Italic"		"Oscan"
"sara1340"	"Germanic"	"yes"	"Saramaccan"
"scot1245"	"Celtic"		"Scottish Gaelic"
"sind1272"	"Indo-Aryan"		"Sindhi"
"sout2645"	"Iranian"		"Fars Dialects"
"sout2672"	"Indo-Aryan"		"Southeast Pashayi"
"vaag1238"	"Indo-Aryan"		"Vaagri Booli"
"vagh1246"	"Indo-Aryan"		"Vaghri"
"vene1257"	"Italic"		"Venetic"
"west2386"	"Indo-Aryan"		"Western Panjabi"
"katk1238"	"Indo-Aryan"		"Katkari"
"varh1239"	"Indo-Aryan"		"Varhadi-Nagpuri"
"dezf1238"	"Iranian"		"Dezfuli-Shushtari"
"cari1274"	"Anatolian"		"Carian"
"celt1247"	"Celtic"		"Celtiberian"
"cent1972"	"Iranian"		"Central Kurdish"
"chur1257"	"Slavic"		"Church Slavic"
"colo1254"	"Germanic"		"Colonia Tovar German"
"dang1260"	"Indo-Aryan"		"Dangaura Tharu"
"faet1240"	"Italic"		"Faeto and Celle San Vito Francoprovencal"
"gade1236"	"Indo-Aryan"		"Gade Lohar"
"hary1238"	"Indo-Aryan"		"Haryanvi"
"kash1274"	"Slavic"		"Kashubian"
"lowe1385"	"Slavic"		"Lower Sorbian"
"lowe1388"	"Germanic"		"Lower Silesian"
"lyci1241"	"Anatolian"		"Lycian A"
"lydi1241"	"Anatolian"		"Lydian"
"megl1237"	"Italic"		"Megleno-Romanian"
"mewa1250"	"Indo-Aryan"		"Mewati"
"midd1318"	"Germanic"		"Middle Low German"
"midd1343"	"Germanic"		"Middle High German"
"oldh1241"	"Germanic"		"Old High German (ca. 750-1050)"
"oldl1238"	"Italic"		"Old Latin"
"oldm1244"	"Indo-Aryan"		"Old Marathi"
"oldn1244"	"Germanic"		"Old Norse"
"oldr1238"	"Slavic"		"Old Russian"
"pala1331"	"Anatolian"		"Palaic"
"roma1328"	"Italic"		"Romagnol"
